"vcfID","C19_STAND_BLUE","C19_DTP_BLUE","C19_EH_BLUE","C19_PH_BLUE","C19_FL_BLUE","C19_TE_BLUE","C19_TIL_BLUE","C19_LA_BLUE","C19_EL_BLUE","C19_EW_BLUE","C19_KRN_BLUE","C19_Germ_BLUE","C19_STAND_BLUP","C19_DTP_BLUP","C19_EH_BLUP","C19_PH_BLUP","C19_FL_BLUP","C19_TE_BLUP","C19_TIL_BLUP","C19_LA_BLUP","C19_EL_BLUP","C19_EW_BLUP","C19_KRN_BLUP","C19_Germ_BLUP"
"ARZM_16_011",8.98445835405372,58.0139048972247,17.8488808703594,125.269583225158,95.1022224726268,29.9726170110176,3.94764646955077,45.5143974330979,134.655740601266,34.0859369256783,13.0432757717326,69.1050465952054,8.74443367258084,58.1887763848825,19.9717998652257,126.826030748451,96.4341803947133,30.8449146974425,3.23051882292879,45.3909040310118,133.238392291115,33.9767182416161,13.0870273485619,66.6272646496546
"ARZM_19_051",2.07195056501434,64.462470116238,47.7028750519188,183.321520997488,138.771068599331,44.3602645324429,1.12869874045574,47.866519992614,132.875145015892,41.5004645430249,11.9472751969923,15.9322614869193,3.34684292654358,62.5949899426678,44.7145649076887,177.508392193576,133.983563199329,40.5859507407597,1.28160571707457,46.548273319393,130.745561726693,39.1573070717335,12.303880162969,23.5745789655313
"ARZM_19_057",11.1268270899303,62.1403055506444,54.2449824763335,209.188189337426,165.56927956654,43.3681670688655,0.363065908170926,32.0511269312923,150.414452046863,42.8790410802772,14.1042575464776,85.0952383023212,10.4294374782346,61.4442463658921,51.8332471362732,203.673531728821,160.266536960154,41.1352442970616,0.756106995216557,34.6798700063905,146.246633919593,41.1829004201932,13.989642515549,80.0952430611207
"ARZM_19_069",8.4746096572759,60.2050142858089,75.2720485517215,240.056422236422,191.76702817897,48.318268252203,1.49427211965453,36.1790721620523,169.133576494795,40.5961970403865,14.139174419434,65.5025173109909,8.33609627923319,59.909976913462,70.2052818313234,231.843103284606,183.963377158284,44.8944320722336,1.49004996117274,38.0276413190656,162.073688141423,39.5476001834321,14.0432824986459,63.9153762891341
"ARZM_20_005",7.07195056501435,55.82670361915,75.4108843581009,203.603054054611,156.378082345905,46.479399404316,2.87007822726816,40.5758793439286,162.654697024713,47.7497606988814,16.4340585540307,54.3322614869192,7.25634071263011,56.368519423807,70.3643224574853,198.97441752713,152.326897740583,43.7414668321378,2.42368989833057,41.2720971811974,156.160041970664,45.1848523885638,15.9140413819431,54.9506722858733
"ARZM_20_006",4.57195056501434,60.82670361915,33.4108843581008,144.603054054611,119.378082345905,33.4793994043159,1.87007822726816,32.0758793439286,139.654697024713,41.7497606988814,13.9340585540307,35.1822614869192,5.30159181958684,60.3891750256833,33.5588476950505,144.784832206679,118.71976270407,33.6517313214978,1.73525265381254,34.5365631414795,136.959893671268,40.2864117468584,13.7732865509604,39.3034799138798
"ARZM_21_002",3.57195056501434,59.462470116238,31.4108843581008,112.103054054611,87.3780823459051,25.4793994043159,3.37007822726816,32.0758793439286,132.875145015892,40.5004645430249,15.9472751969923,27.4822614869193,4.51969226236954,59.2328691697466,31.8062060396964,114.934636903041,89.6541324022209,27.4426633149502,2.76790852058958,34.5365631414795,130.745561726693,38.4675373472878,15.2987332859956,33.0119195345404
"ARZM_21_006",8.81354193855359,NA,23.5762653420659,123.568159848057,97.2877278573481,26.575467471594,4.09084852081302,43.0900000932628,153.46817815841,28.6392620829779,8.09510601491779,68.68541445552,8.47727542533357,NA,26.014536093616,126.648396612449,99.36365035433,29.2259935788962,2.87899114589178,43.6718234654268,145.900138499321,30.3170136119977,9.4478319708555,64.5410852191537
"ARZM_21_007",7.04598236825389,52.7695125054057,38.7028750519188,138.321520997488,103.771068599331,34.3602645324429,4.02519306925454,43.866519992614,99.8751450158919,32.5004645430249,12.9472751969923,54.2009411913151,7.25203398379883,53.9396086745401,37.6957577220143,139.293136084265,104.863328045392,34.2442990872706,3.22316496838397,43.9234766409177,107.103457249458,32.9493795517225,13.0525934437256,54.8723827756122
"ARZM_21_008",6.50057785403635,56.7622053995532,28.6472611068558,132.796029755992,96.6486552026225,35.4342515966525,3.83915727766815,34.7399619648481,145.35790048676,31.4829902716677,8.49106059276464,50.3338376065951,6.77660389362986,57.1120353802897,29.4094743027645,133.665108510845,97.8726266657039,35.0360362469423,3.10010524693244,36.8864877240364,141.773370821111,32.0550077800741,9.10363500785366,51.4922536170715
